generator,seed,w_conf,level,delta_auc
linear,14,1.8,a045,0.014768193894497683
linear,14,1.8,a070,0.02957039629537317
linear,14,1.8,a100,0.04413804002726174
linear,14,1.8,a150,0.052907733546853186
linear,14,1.8,a200,0.06092223817482345
linear,14,1.8,a300,0.06803476719614476
linear,14,2.0,L0_null,0.00020532619952196018
linear,14,2.0,L1_redundant,0.0
linear,14,2.0,a025,0.004212030068347583
linear,14,2.0,a045,0.01401651403875237
linear,14,2.0,a070,0.025456531748610955
linear,14,2.0,a100,0.03723530609903469
linear,14,2.0,a150,0.05200211365948648
linear,14,2.0,a200,0.05844076421274269
linear,14,2.0,a300,0.06232793664480074
linear,15,0.0,L0_null,0.0026088876810820283
linear,15,0.0,L1_redundant,0.0
linear,15,0.0,a025,0.06600852232502386
linear,15,0.0,a045,0.11966367270774358
linear,15,0.0,a070,0.1585179033907964
linear,15,0.0,a100,0.20343747189903183
linear,15,0.0,a150,0.23239655987015317
linear,15,0.0,a200,0.24935252885115555
linear,15,0.0,a300,0.26073922748606326
linear,15,0.2,L0_null,-0.0013563592564619364
linear,15,0.2,L1_redundant,0.0
linear,15,0.2,a025,0.024935076744402984
linear,15,0.2,a045,0.06906827649444025
linear,15,0.2,a070,0.13301551300769632
linear,15,0.2,a100,0.16959974099396313
linear,15,0.2,a150,0.1906092574922954
linear,15,0.2,a200,0.20864824854287245
linear,15,0.2,a300,0.22740670080693315
linear,15,0.4,L0_null,-0.0005048065560598891
linear,15,0.4,L1_redundant,0.0
linear,15,0.4,a025,0.008594759366924998
linear,15,0.4,a045,0.04476554622014228
linear,15,0.4,a070,0.0884498388951912
linear,15,0.4,a100,0.12319655672937535
linear,15,0.4,a150,0.15897664472647632
linear,15,0.4,a200,0.16955665650406493
linear,15,0.4,a300,0.1803582366310581
linear,15,0.6,L0_null,0.0003018137425355727
linear,15,0.6,L1_redundant,0.0
linear,15,0.6,a025,0.012652343183550574
linear,15,0.6,a045,0.034355711705907455
linear,15,0.6,a070,0.06356076993363113
linear,15,0.6,a100,0.10045605737421548
linear,15,0.6,a150,0.12669102250883235
linear,15,0.6,a200,0.13669114293326834
linear,15,0.6,a300,0.14815667821235956
linear,15,0.8,L0_null,0.0002568785677231622
linear,15,0.8,L1_redundant,0.0
linear,15,0.8,a025,0.01766234000117073
linear,15,0.8,a045,0.03991647819733779
linear,15,0.8,a070,0.07250353802077947
linear,15,0.8,a100,0.09564974769872325
linear,15,0.8,a150,0.11637099368233816
linear,15,0.8,a200,0.13065651858755323
linear,15,0.8,a300,0.14515490002746378
linear,15,1.0,L0_null,-0.0023495010174743314
linear,15,1.0,L1_redundant,0.0
linear,15,1.0,a025,0.011887500937584061
linear,15,1.0,a045,0.0314910522240871
linear,15,1.0,a070,0.046375065411746186
linear,15,1.0,a100,0.08291160313906254
linear,15,1.0,a150,0.10302692816422254
linear,15,1.0,a200,0.1167358777933899
linear,15,1.0,a300,0.1251403871624056
linear,15,1.2,L0_null,-0.0007222724760038712
linear,15,1.2,L1_redundant,0.0
linear,15,1.2,a025,0.004273581587014297
linear,15,1.2,a045,0.020100381928739974
